,Title,Company,Location,Salary,Description,Imported From
10,Global Head of Data Privacy,Navitas,"Uxbridge, England",None,"We are currently looking for a Global Head of Data Privacy to lead this important area
Salary: £70,000- £75,000 plus employee benefits
About the Role:
This role covers core data protection activities with a key focus systemisation of data privacy to drive and sustain the necessary practical change required across the organisation.
The role will provide data privacy expertise to both business and technical engineering teams. The role will work closely with stakeholders across the business and will play a strong role in further lifting data maturity within Navitas.
Key accountabilities:
Show More",GlassDoor
11,Data Entry Officer,"SOAS, University of London","London, England",None,"Department: Registry

Contract Type: Fixed term - 4 months

Salary: Grade 6 - £30,732.50 to £36,925.50 pa inclusive

Location: Flexible

Hours: 35 hours per week

SOAS University of London is the leading Higher Education institution in Europe specialising in the study of Asia, Africa and the Near and Middle East. SOAS University of London is positioned to play a leading role in reimagining higher education globally, with a new strategic plan in place as the basis for the renewal and revitalisation of the School which commits SOAS to both student responsiveness and research intensity. SOAS is moving towards a new model of international partnerships which is responsive to the transnational character of our global challenges.


The Registry is responsible for the central elements of student administration for the School, with specialist teams including Curriculum and Quality Assurance, Assessment and Progression, Fees and Funding and Visa Compliance.

About the Role

This is an exciting opportunity to contribute to a project that will provide a new Curriculum Management Solution for the School, enhancing the management of the curriculum record, its approval and review.

This role sits within the Curriculum Management and QA Team within the Student and Support Directorate to provide data entry support around the curriculum management to ensure that the data is available and accurate for loading into the new solution in May/June 2022.

This is a key role for Curriculum Management Team and the data movement needs to be completed with good quality and on time to allow the newly purchase product to go live in July/August 2022, so that the students can enrol in August/Sept 2022.

The role involves the collation of the data, data entry and data validation into a standard format which will be provided by the project. It will also involve an element of data correction and cleaning as issues are found in the validation.



Provide data entry support to the Curriculum Management Project, Project Manager (on behalf of the Curriculum and QA Manager);
Collate the curriculum data in line with the guidance from the Curriculum Management Project Manager (CM Project Manager) and into specific templates;
Validate to collated data to existing documents, rules as provided by the CM Project Manager;
Identify data errors and inconsistencies, and missing data in light of the rules and log the issues;
Update the data with the agreed corrections;
Provide support on the curriculum management data as needed by the CM Project Manager i.e. direct data entry, collation of values, Quality checking, etc.

You can find further information on the key criteria for the role in the Job Description and Person Specification, along with a full list of duties and responsibilities, which can be found on the SOAS website.


Please complete the Unbiased application form, please note you will not be able to upload a CV.

7th March 2022

week commencing 14th March 2022

Completed applications must be received by 23:59 on the closing date to be considered.

Further information

If you have any questions or require any assistance with regard to the application process, please contact hr-recruitment@soas.ac.uk

'Successful candidates will need to demonstrate their eligibility to work in the UK or have limited leave to remain in the UK and associated right to work for the duration of their employment with SOAS, in accordance with the Immigration, Asylum and Nationality Act 2006'

For information on how and why SOAS processes personal data about its job applicants, please read our Job Applicant Notice.

We would particularly welcome applications from candidates from working class, first generation Higher Education, the Global South, Black, Asian or other minority ethnic and underrepresented groups. All appointment decisions will be made on merit, following a fair and competitive process.
Show More",GlassDoor
12,Data Analyst,Uniting People,"London, England",None,"Data Analyst
Systems used: AMOS, SAP, Mariapps
Good to Know: SAP SQVI, SQL, Excel (custom filters, pivots, if statements, vlookups), ADO Boards - Visual Studio Team Services
Migrated data and cutover data to analyze back to the source systems
Report back discrepancies and findings
Suggest potential areas for improvements
Contract length: 6 months
Job Types: Full-time, Fixed term
Show More",GlassDoor
13,Data and Administration Assistant | The Fostering Network,The Fostering Network,Remote,None,"Salary: £19,147 - £27, 341 plus a homeworking allowance per annum
Hours: 36 hours per week
Location: Home Based (some travel in the UK will be required)

The Fostering Network is the UK’s leading fostering charity. We are dedicated to creating a better future for fostered children and young people. We bring together everyone who is involved in their lives, leading, inspiring, motivating and supporting them to make foster care better. Together with our members and supporters we are a powerful catalyst for change, and we’ve been shaping and influencing the fostering agenda for more than 40 years.





Show More",GlassDoor
14,Graduate Data roles,Places for People,Remote,None,"We are Places for People Group, we build homes and manage communities where everyone is welcome and everyone can thrive, we are placemakers.
We want you to join the Places for People Group and the 11,000 other colleagues on our journey; colleagues who have helped to build, manage, maintain places that people are proud to call home and stay active in. How do we do all this? We surround ourselves with innovative people, supportive people and passionate people. Our people live and breathe our SPIRIT values; we are the place for spirited people.
More about the Programme
The Emerging Talent Programme brings together likeminded individuals looking to make the first step in their career. The programme offers you the opportunity to flourish, thrive and better yourself in a workplace like no other, with a collaborative learning environment that helps you embark on your own pathway of development. The start date for this role is 19th September 2022.
Show More",GlassDoor
15,Data Quality Officer,IQVIA,Remote,None,"Quality Health, an IQVIA business, has been using a range of methodologies and technologies to measure and interpret patient, staff and service user experience for over 35 years. Our clients span local and internally in sectors from local and national NHS organisations , private Healthcare providers, voluntary
organisation social care organisations and other public sector clients.
Quality Health designs and delivers a wide range of innovative technology-enabled data collection
The Insight and Feedback Teamwork with Health and Social Care Providers and other organisations to carry out surveys of their patients, service users and staff to gather feedback on their experiences of being treated at or working for the organisation. The Data Team provide an important service ahead of the survey mailout process to ensure that survey mailout data is received from the supplying organisation; is quality checked, corrected, and validated against specific sampling criteria and approved for mail out. This is an essential function to ensure that survey invitations are sent to the correct participants within the required timescales.

















Show More",GlassDoor
16,Data Curator,Beauhurst,"Nottingham, England",None,"Salary: £22.5k + benefits - Start Date: ASAP
Have you ever wondered how some of the most ambitious and successful companies in the UK (think Deliveroo & Monzo) grow so rapidly? We’re looking for bright and inquisitive people to help us shine a light on these companies.
This entry level role is perfect for anyone who loves learning new things and often finds them falling into online rabbit holes (fans of “The Wikipedia Game”, we’re looking for you). Come & join our close-knit team (check out our Glassdoor to see just how great our culture is) and help us with our deep dive into online research!
If this sounds right up your street then read on...
The role
Show More",GlassDoor
17,GCP Data Engineer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
LONDON
GCP Data Engineer
Work with technologies and cloud services to automate platforms and software deployments in a fast paced, scalable, secure, and consistent manner.
This job includes the following responsibilities:
· Data engineer with hands on experience in GCP BigQuery, DataFlow, Machine Learning


Show More",GlassDoor
18,Data Scientist Intern,Samsung Electronics,United Kingdom,None,"Position Summary
At Samsung Research UK, the Emerging Solutions team’s role is to develop new technologies and services in new business areas for Samsung. The team currently has a focus on Health and Energy.

We are now looking for a Data Scientist Intern to work in our highly experienced data science team. It is a great opportunity to use data science to solve real world problems and help develop new technology and services which could be commercialised globally.

Through this position the candidate will have an opportunity to contribute to the development of future Samsung products and build a strong network within Samsung, while continuing to enhance their network within other communities (e.g. startup and academia).

We are ideally looking for someone who is available for a 9-12 month placement, however if you are available for a minimum of 6 months we still encourage you to apply.
Show More",GlassDoor
19,"Data Scientist, Climate",NatWest Group,"London, England",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
Join us as a Data Scientist, Climate
Working as part of a growing team, you'll be vital to helping the bank make climate first business decisions, qualifying the environmental impact of our lending and guiding customers to reduce their carbon footprint in an economically sustainable manner.
We’ll look to you to identify and work with data sets from across the bank’s data estate to solve difficult, non-routine analysis problems and apply advanced analytical methods
Show More",GlassDoor
20,Data Science Intern - Summer 2022,FreeAgent,"Edinburgh, Scotland",None,"FreeAgent
FreeAgent is one of the UK's most popular online accounting apps, with over 125,000 customers. FreeAgent removes the stress and pain of dealing with business finances, allowing business owners to focus on running their business!
Our customers love FreeAgent. It is rated 4.7 on Trustpilot.
Our employees love FreeAgent. We are rated 5 stars on Glassdoor.
We believe in the power of a happy and diverse team and we'd love you to join us on this journey
The role ‍
Every summer we invite interns to join our data science and analytics team for three months between June and September. Our interns are treated as full-time employees and become a core part of the team. You will work alongside and be mentored by experienced data scientists, and you'll have the opportunity to contribute to current research and development.













Show More",GlassDoor
21,Data Analyst - SQL & Python,Uniting People,"London, England",None,"Role – Data Analyst
Rate – up to £450 per day (InsideIR35)
Location – London
Duration – 6 month rolling contract
We are looking for a qualified candidate that has hands on data analytics skills to help us work with engineers and data Scientist to instrument our apps, so that we can collect the right data in a standard way
SQL Experience of 4-6 Years - Mandatory
Python Experience of 3-5 Years - Mandatory
Good communicator will also be a key as we need that person to drive engineering in the right way to get the right data
Show More",GlassDoor
22,Data Entry Officer,SOAS University of London,"London, England",None,"Job title: Data Entry Officer
Department: Registry
Contract Type: Fixed term - 4 months
Salary: Grade 6 - £30,732.50 to £36,925.50 pa inclusive
Location: Flexible
Hours: 35 hours per week
SOAS University of London is the leading Higher Education institution in Europe specialising in the study of Asia, Africa and the Near and Middle East. SOAS University of London is positioned to play a leading role in reimagining higher education globally, with a new strategic plan in place as the basis for the renewal and revitalisation of the School which commits SOAS to both student responsiveness and research intensity. SOAS is moving towards a new model of international partnerships which is responsive to the transnational character of our global challenges.

Show More",GlassDoor
23,Data Platform Engineer,Uniting People,"Edinburgh, Scotland",None,"URGENT CONTRACT ROLE
INSIDE IR35
REMOTE WORKING + ADHOC TRAVEL TO OFFICE
Key Responsibilities:
The associate should have good knowledge on big data/Hadoop echo systems, and Mandatory for Data Platform Engineer along with following experience.
CDH/CDP Hadoop cluster management, Hive, Impala, Spark, Scala, Java, unravel, unix.
Experience Required:

Show More",GlassDoor
24,Data Analyst,Deutsche Bank,"London, England",None,"Job Title: Data Analyst
Location: London
Corporate Title: Assistant Vice President
You will be joining our Name List Screening Run The Bank Data Team are working on Regulatory commitments relating to identification and remediation of critical data elements and controls, as well as the need to align to the Bank’s data strategy to support the delivery and maintenance of the Name List Screening (NLS) global data quality controls framework.
You will be monitoring and reporting on Data Quality exceptions across all party data feeds working with the a wide variety of stakeholders including the Business to ensure adherence to Regulatory data demands and Deutsche Bank Policy such as Party Data meets minimum data requirements.





Show More",GlassDoor
25,CCIS Data Co-ordinator,Shaw Trust,Remote,None,"About Shaw Trust

At Shaw Trust we believe everyone has the right to live a decent and dignified life and an opportunity for rewarding work. We are a social purpose organisation challenging inequality and breaking down barriers to enable social mobility.

Having grown from humble beginnings in 1982 in the village of Shaw in Wiltshire, finding jobs for disabled people, today we are a complex and diverse charity committed to employment as the core pathway to a better life. For us being part of the solution is about creating the conditions for this to happen, advocating and delivering services that make a real difference. Working in partnership not competition, we are part of an eco-system of purpose-led organisations, striving for a fairer, more equal society centered on opportunity for all.
Role Purpose

Working as a member of the Midlands Management Information Team you will support the achievement of the teams objectives. This role requires a focused, team player who has a keen interest in data. You will work on the analysis of what has happened in the past, forecasting what will happen in the future and problem solve issues and identify solutions.

We are looking for a confident communicator with excellent interpersonal skills, comfortable working flexibly, independently and collaboratively as part of a remote working team and use your own initiative to make decisions and solve problems.

Primarily you will be working with databases and excel spreadsheets , this role also includes Query Writing through SQL and designing reports using SSRS and Power BI as we develop our services, any experience of working with these packages be it in employment, education or private settings will be advantageous.

Recognising the importance of maintaining information quality and integrity is vital along with understanding the need for great customer service

You are goal driven, with excellent time management skills, and able to work to tight deadlines that may require the team to work flexibility including occasional evenings/weekends.

You will be proactive with a positive attitude to continual improvements in terms of skill building and delivery of services to our customers.

You will work independently on a day-to-day basis, in order to ensure that all contractual requirements in relation to the coordination of management information is achieved

Download the Job Description for full details and Person Specification.

Shaw Trust is committed to creating a diverse and inclusive working environment, where every employee, regardless of their background or lived experience, feels that they belong and can progress in their career. We are Disability Confident Leaders, support the guaranteed interview scheme and use of the government’s Access to Work scheme. Living our values we are keen to reflect the diversity of UK society at every level within our organisation. We welcome applications from all sections of the community including from people with lived-experience and/or knowledge of disability or social exclusion. If you have accessibility requirements and would like information in a different format, email: HRSS@shaw-trust.org.uk to make alternative arrangements.

Shaw Trust reserve the right to close this vacancy early if sufficient applications are received.
Show More",GlassDoor
26,Junior Data Analyst,BGC Partners,"London, England",None,"Junior Data Analyst
There is an exciting and dynamic entry level opportunity at BGC Partners to join the European Swaps desk as a Data Analyst/ Inputter. You will be part of a highly experienced team who are eager to teach and train new recruits.

BGC Partners is a leading global brokerage company servicing the financial and real estate markets, based in Canary Wharf, London. We are experts in our fields, agile and dynamic in our approach, and built upon the foundation of cutting-edge technology and exceptional talent.




Show More",GlassDoor
27,Data Scientist,Yell,Remote,None,"Data Scientist
We have a brand new role here at Yell , we are looking for a Data Scientist to join our Data and Insight team.
The Data and Insight team are responsible for providing analytics, reporting, research, and managing the listing database including company level insight. This role is to expand the capability of the team in predictive modelling of business behaviour for both customers and prospects.
Role Responsibilities:
Assimilate and standardise input variables
Analyse data to understand the core drivers of customer churn with particular attention to differences with those in the first year of advertising
Analyse data to understand the core drivers of revenue churn
Build a predictive model to drive actions to prevent customer loss and thereby improve churn rates
Build tools for next best action for retention and prospecting to embed in Yell’s account planning process to identify at risk customers in time to service appropriately and change outcome
Utilise business firmographic, interactions and actions over time and recommendations for additional external/market data to make models more robust









Show More",GlassDoor
28,Data Analyst,easyJet,"Luton, East of England, England",None,"COMPANY
When it comes to innovation and achievement there are few organisations with a better track record. Join us and you’ll be able to play a big part in the success of our highly successful, fast-paced business that opens up Europe so people can exercise their get-up-and-go. With over 300 aircraft flying over 800 routes to more than 30 countries, we’re the UK’s largest airline, the second largest in Europe and the tenth largest in the world. Flying over 80 million passengers a year, we employ over 13,000 people. Its big-scale stuff and we’re still growing.
TEAM

The role forms part of the Data Analytics Centre of Excellence responsible for driving Analytics best practice across the business, to transform easyJet into the world’s leading data driven airline. The team is made up of a very diverse group of Data Analysts working collaboratively to guide and support Federated Data Analysts across the business, while also developing innovative bespoke solutions to the more complex business problems.

Show More",GlassDoor
29,Business/Data Analyst,Uniting People,"London, England",None,"Business/Data Analyst
As a Business Analyst, candidate will be responsible for:
Understand the current “as is processes”
Requirement specification for enhancement requests for existing ITSM/ITOM tools and processes
Leading various ITSM customer working and focus groups to solicit requirements
Direct interaction with customers – as well as on and off-shore development teams
Identify areas of process and tooling improvement
Ensure gaps are clearly defined and assessed
Functional specification of “target state” processes
Show More",GlassDoor
30,Data Analyst,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity
of the judiciary.
The Role:
Working as part of the Business Partnering Team (BPT) you’ll have ownership of the analytical relationships we share with partners, fully understanding the
Show More",GlassDoor
31,Data Scientist,Bezos,Remote,None,"Bezos wants to deliver happiness to everyone involved in our ecosystem: our team, our clients, their end customers and our suppliers. We want to help small and medium e-commerce businesses grow, by giving them access to the services, scalability and prices that were only reserved to big companies with big budgets until now.
We are a group of startup veterans who have extensive experience in the last mile logistics industry, successfully leading teams and scaling businesses to significant sizes. Our expertise in e-commerce, the gig economy and last mile delivery industry allowed us to have a clear understanding on how to build Bezos in a very complex environment.
We are much more than a fulfilment service. Logistics is a very old industry, but e-commerce logistics is relatively new. We operate in a new category we like to coin Fulfilment-as-a-Service (FAAS). We envision an interconnected world, where technology will allow companies like Bezos to create a living, ever-changing logistics network, where products will reach their end destination in a more efficient and sustainable way. A network where we can design for our client’s specific supply chains that are specific to their needs, without the need of extensive capital investments.



Python, SQL, Data Analysis, Data VisualisationPython, PostgreSQL, AWS
Show More",GlassDoor
32,Data Scientist,Mosaic Smart Data,"London, England",None,"Mosaic Smart Data is a growing FinTech company founded in 2014. Our award winning data analytics platform enables financial institutions (including some of the world's largest investment banks) to have a real-time view on exactly what is going on in their business. We process trading and interaction data for clients and harness their data intelligently to provide actionable insights so they can better service their own clients.
About the role:
We’re looking for a Data Scientist to join our small but highly skilled team as we seek to push forward the frontiers of data science. You will be directly involved in developing and validating data science models and supporting the rollout of these models with existing and prospective clients. You will have the opportunity to work directly with our customers and develop a deep understanding of the financial markets. You will also work closely with a Python engineering team to ensure our models and analytics are integrated with the pipeline and successfully make it to production.


PythonPython
Show More",GlassDoor
33,People Data Analyst,RS Components,"Corby, Northamptonshire, East Midlands, England",None,".
Electrocomponents are currently seeking an experienced Data Analyst for a 6 month Fixed Term Contract role.
This is a Work from Home position. Monday to Friday, 8.30am to 4.45pm

The People Data Analyst provides data and analytical support for the function by designing, building and maintaining reports, data feeds between systems, data transformations, data models, and dashboards. Using data extracts and analysis they also monitor and advise on routine systems activity, People data quality, People processes, and high level People metrics, identifying potential business performance issues and possible improvements.











Show More",GlassDoor
34,Data Scientist - Global & Social Issues,air-recruitment,"London, England",None,"Data Scientist - £60K depending on experience, plus benefits.
This global independent agency needs an amazing Data Scientist for the development of data & technology solutions to change knowledge, attitudes, and behaviours in target audience groups.
This agency work with local partners and they are focused on tackling some of humanity's most challenging and important problems, in fragile states and developing countries. They aim to harness cutting-edge marketing, communications, and creativity, to foster behaviour change activity throughout the International Development sector.
This role will involve using multiple sources of data, best practices, critical thinking, driving data initiatives, valuing data, developing tools and techniques, and bringing new forms of thinking and insight from adjacent disciplines, all to further the activities and goals of the agency and client.
Show More",GlassDoor
35,Machine Learning Scientist,EDF UK,"Hove, England",None,"A career that will deliver change. Together, we’ll help Britain achieve net zero.
The Opportunity:
Do you have a strong math background, with extensive understanding of machine learning, statistics and probabilities?
As a Machine Learning Scientist, you will be part of the R&D Digital Innovation team. You’ll be supported by team members with a diverse set of skills, and your contribution as a Machine Learning Scientist will be valuable to developers and machine learning engineers.
You will be working on exciting topics such as:
Developing deep learning algorithms, primarily for advanced computer vision or NLP
Developing implementing and maintaining state of the art deep neural networks


x2 Stages Python, Deep Learning, Machine Learning, MathematicaPython, PyTorch, CUDA, Tensorflow, AWS
Show More",GlassDoor
36,"Data Analyst, In store Technology,",Apple,"London, England",None,"Summary
Posted: Feb 24, 2022
Weekly Hours: 35
Role Number:200347217
The people here at Apple don’t just build products — they create the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it. Apple’s Sales organization generates the revenue needed to fuel our ongoing development of products and services. This in turn, enriches the lives of hundreds of millions of people around the world. Our sales team, is in many ways, the Apple direct contact to our largest customers. The Channel Interactive Technology Team is currently looking for an individual to fill the position of Demo Device Data Analyst. In this role, the Demo Device Data Analyst will be responsible for building and maintaining dashboards plus other relevant reporting for regional and in country users. To enable this effectively this individual will need to test new data flows as well as create, maintain and monitor a supporting data integrity framework.",GlassDoor
37,Machine Learning Engineer,Franklin Bates Limited,"London, England",None,"Machine Learning Engineer
Machine Learning / DevOps / Site Reliability Engineer / SRE / AWS / Python
We are looking for an intellectually curious DevOps / Site Reliability Engineer-type individual to take on a new Machine Learning Engineer role with a SaaS company who help some of the largest companies in the world deal with data at scale (we are talking terabytes of data!) through innovative technology, intelligent systems, and multi-award-winning solutions.
This is a one-of-a-kind opportunity to join a proven fast-growth technology start-up with a track record of successes, doing real things and selling to real customers in the international banks, investment management, exchanges, and crypto spaces.
Candidates for this Machine Learning Engineer role must have the below as a minimum:
Show More",GlassDoor
38,NLP Data Engineer,Metrica Recruitment,United Kingdom,None,"The Company
An innovative, tech-focused company that specialises in building products to translate text from one language to another in a secure way. Regarded as a pioneer within the community of natural language processing which is at the core of their 55 different machine learning translator models.
The Role
As a data engineer, you'll be responsible for delivering on a wide range of projects including;
using Python and AWS to build data pipelines to feed machine learning models for language analysis
using web scraping techniques to find new datasets online to build out coverage across different domains
Job Owner: t.stillwell
Show More",GlassDoor
39,Graduate Data Engineer,Graduate Recruitment Bureau,"London, England",None,"The Company
A rapidly growing, independent consultancy that provide both business and technical solutions to top-tier and boutique investment clients.
The Role
This is a great opportunity for a graduate looking to start their career within data. You will be exposed to designing, delivering and supporting the implementation of data strategies.
You will be:
A team member within the data strategy practice
Providing technical data centric solutions to a growing client base
Show More",GlassDoor
40,Data Scientist - Inside IR35,Lorien,"London, England",None,"Data Scientist - Inside IR35
6 month contract
Remote working with potentially 1 day per week In the London office
Betting and Gaming Industry
Data Scientist required for this global company with more than 20 million users and 160 terabytes of data daily.
As a Data Scientist you'll have a fantastic opportunity to immerse yourself in large volume of data at an exciting time in a digital transformation, as my client build a new Smart Data Platform on Snowflake / AWS and develop models in Databricks and Python.
Show More",GlassDoor
41,Data Scientist - R& Python,Metrica Recruitment,"London, England",None,"The Company
A well-established location strategy and analytics consultancy, delivering geographically focused analysis and insights to clients across the UK and further afield. This organisation collaborates with leading companies across a number of different industries; including but not limited to, retail, leisure, central government & automotive.
The Role
As a data scientist, you will be responsible for utilising the most cutting edge data techniques to deliver bespoke solutions to both internal stakeholders and clients alike. You should expect to be exploring the newest methodologies within the machine learning and natural language processing space. With complete autonomy to generate the best results, this is undoubtedly a fantastic opportunity for an ambitious individual looking to accelerate their learning.
Job Owner: t.stillwell
Show More",GlassDoor
42,Data Engineer - Fully Remote,Lorien,"London, England",None,"Data Engineer
As a Data Engineer you will help build out their rapidly expanding digital transformation business. This role will be fully remote.
Skills and Experience :
Significant demonstrable expertise and experience of application architecture using AWS/Azure or GCP:
Excellent data mapping/modelling skills - understanding data requirements
Full stack development experience. Desirable programming languages: Python, Java, Scala, React, Node.js, Golang
Understanding of DataOps and ability to create use case agnostic configurable ETL / ELT pipelines
Show More",GlassDoor
43,Senior Data Analyst,Metrica Recruitment,,None,"The Company:
A boutique data consultancy that specialises in communicating complex information simply within the education and charity sectors. As a company, they support clients that want to have a positive impact on society and pride themselves on using data to improve the life chances of others.
The Role:
As a senior data analyst, you'll work in a close-knit but high calibre team to deliver a range of high profile projects for clients. For instance, analysing exam data to understand student performance, often building dashboards in Tableau to present insights that showcase how different schools have performed against the national average across various categories.
There will also be the opportunity to develop your statistical capabilities within this role, using regression and multivariate testing techniques to assess long term outcomes of different programmes.
Job Owner: t.stillwell
Show More",GlassDoor
